恸哭,NB,7,0
豺狐之心,NN,7,-1
有见识,PH,9,1
无忧无虑,PA,3,1
肝火,NA,5,0
二佛涅槃,NB,5,0
饱满,PH,5,1
云翳,NC,5,-1
不迭,NI,5,-1
无面目见江东父老,NG,9,-1
悠游自在,PE,5,0
西崽,ND,3,-1
半途而废,NN,5,-1
铜筋铁肋,PH,9,1
束缚,NE,5,-1
不逊,NN,5,-1
颂词,PH,5,1
魂不着体,NB,5,0
贼溜溜,NN,9,-1
不知所厝,NI,5,-1
不适,NE,5,-1
佯攻,PH,5,0
火暴,NA,5,0
度越,PH,1,1
露宿风餐,NB,5,-1
草间求活,NN,5,-1
赏不遗贱,PH,5,1
仰不愧天,PE,7,1
廉正无私,PH,5,1
酣梦,PA,3,1
前怕狼，后怕虎,NN,5,-1
震撼人心,PC,9,1
炫弄,NN,5,-1
倒峡泻河,PH,5,1
祝发空门,NB,5,0
打草惊蛇,NN,5,-1
恋酒迷花,NN,5,-1
绵里藏针,NN,7,-1
银钩铁画,PH,5,1
不逞,NJ,3,-1
启宠纳侮,NN,7,-1
思恋,PF,5,1
羞辱,NA,5,0
履薄临深,NI,7,0
刻舟求剑,NN,3,-1
庄重,PH,5,1
枯鱼衔索,NB,5,-1
无恶不作,NN,7,-1
求贤若渴,PH,5,1
迫降,NE,3,0
贫骨头,ND,7,-1
大杖则走,PH,5,1
悍勇,PH,1,1
及锋而试,PH,3,1
除患宁乱,PH,3,1
不遂,NJ,5,-1
弃旧怜新,NN,7,-1
风范,PH,3,1
徒然,NN,9,-1
匡鼎解颐,PH,7,1
知止不殆,PH,3,1
不道,NN,7,-1
驳倒,PG,7,1
光芒万丈,PH,3,1
不遑,NB,7,-1
佛眼相看,PH,5,1
祸乱,NN,1,-1
誓死不二,PH,7,1
潸然泪下,NB,5,0
肝肠寸断,NB,9,-1
逢迎,ND,3,-1
棋输先著,NJ,3,-1
食不累味,PH,5,1
铁铮铮,PH,9,1
庸庸碌碌,NN,9,-1
今夕何夕,PH,5,1
倜傥,PH,5,1
望风而靡,NN,7,-1
舍不得,NB,5,0
对答如流,PH,3,1
怪异,NN,1,-1
预谋,NN,1,-1
千叮咛，万嘱咐,NE,7,1
祸事,NN,3,-1
鬼迷心窍,NN,7,-1
无稽之谈,NN,7,-1
胆气,PH,5,1
怜悯,NB,5,0
解决,PA,1,0
摇头幌脑,NN,7,-1
平价和售,PH,3,1
游戏人世,NN,5,-1
闭眼睛捉麻雀,NN,3,-1
灰暗,NE,1,0
德泽,PD,1,1
补考,NG,7,-1
轻描淡写,NN,1,-1
权欲熏心,NN,7,-1
不知所为,NE,5,-1
祟论宏议,NE,7,1
鹤骨鸡肤,NJ,5,0
跗萼连晖,PH,7,1
依恋,PB,7,0
聪睿,PH,5,1
闳侈不经,NN,5,-1
怜惜,PB,5,0
巧立名色,NN,7,-1
家业凋零,NB,3,0
蠢蠢,ND,3,-1
凡偶近器,NN,5,-1
酣嬉淋漓,PH,5,1
游戏翰墨,NN,5,-1
杀人如蒿,ND,7,-1
飘舞,PB,7,0
握发吐哺,PH,7,1
瞎子摸象,NN,5,-1
跛鳖千里,PH,5,1
胸无宿物,PH,5,1
急忙,NI,5,0
候光,PH,3,1
解放战争,PH,3,1
家败人亡,NB,7,0
耍花腔,NN,1,-1
心毒,NN,9,-1
装璜,PD,7,1
俗套,NN,5,-1
取义成仁,PH,8,1
应弦而倒,PH,5,1
龙腾虎掷,PH,7,1
目光炯炯,PH,5,1
三曹对案,PE,1,0
论长道短,NN,3,-1
逸趣,PH,5,1
正颜厉色,PH,5,0
